name,fan_cost,ac_count,room_count,link_count 
house0000,2773333.33333,3.0,8.0,9.0 
house0001,5315555.55556,1.0,5.0,6.0 
house0002,10400000.0,2.0,7.0,5.0 
house0003,5315555.55556,2.0,9.0,8.0 
house0004,3062222.22222,1.0,5.0,7.0 
house0005,10400000.0,4.0,10.0,8.0 
house0006,5315555.55556,2.0,7.0,9.0 
house0007,3697777.77778,1.0,5.0,4.0 
house0008,3177777.77778,1.0,3.0,2.0 
house0009,3177777.77778,1.0,6.0,8.0 
house0010,3322222.22222,2.0,5.0,6.0 
house0011,3177777.77778,1.0,4.0,3.0 
house0012,5315555.55556,2.0,8.0,7.0 
house0013,3264444.44444,1.0,4.0,4.0 
house0014,4188888.88889,1.0,5.0,7.0 
house0015,5315555.55556,1.0,7.0,9.0 
house0016,3611111.11111,2.0,9.0,11.0 
house0017,3264444.44444,1.0,5.0,6.0 
house0018,3351111.11111,1.0,6.0,7.0 
house0019,5315555.55556,3.0,7.0,8.0 
house0020,5546666.66667,1.0,8.0,8.0 
house0021,4188888.88889,3.0,8.0,9.0 
house0022,2773333.33333,2.0,5.0,6.0 
house0023,5315555.55556,1.0,4.0,3.0 
house0024,3351111.11111,1.0,5.0,6.0 
house0025,3091111.11111,3.0,8.0,11.0 
house0026,3437777.77778,1.0,6.0,8.0 
house0027,10400000.0,3.0,7.0,6.0 
house0028,3264444.44444,1.0,4.0,4.0 
house0029,10400000.0,2.0,5.0,1.0 
house0030,3062222.22222,1.0,4.0,4.0 
house0031,3697777.77778,1.0,6.0,7.0 
house0032,5315555.55556,2.0,9.0,10.0 
house0033,3437777.77778,2.0,8.0,7.0 
house0034,3004444.44444,1.0,3.0,3.0 
house0035,3264444.44444,1.0,6.0,7.0 
house0036,3351111.11111,2.0,7.0,9.0 
house0037,3091111.11111,1.0,3.0,2.0 
house0038,3437777.77778,2.0,6.0,7.0 
house0039,3697777.77778,1.0,7.0,8.0 
house0040,3437777.77778,1.0,5.0,6.0 
house0041,10400000.0,2.0,5.0,4.0 
