name,fan_cost,ac_count,room_count,link_count 
house20000,10400000.0,2.0,5.0,2.0 
house20001,3611111.11111,1.0,8.0,11.0 
house20002,4044444.44444,1.0,6.0,7.0 
house20003,3957777.77778,1.0,9.0,12.0 
house20004,2917777.77778,1.0,4.0,5.0 
house20005,10400000.0,3.0,7.0,3.0 
house20006,3524444.44444,1.0,5.0,5.0 
house20007,10400000.0,1.0,3.0,1.0 
house20008,2975555.55556,1.0,3.0,3.0 
house20009,3351111.11111,1.0,7.0,8.0 
house20010,3351111.11111,1.0,6.0,8.0 
house20011,3351111.11111,2.0,7.0,7.0 
house20012,5373333.33333,3.0,9.0,6.0 
house20013,3062222.22222,1.0,3.0,3.0 
house20014,3091111.11111,3.0,7.0,8.0 
house20015,10400000.0,1.0,3.0,1.0 
house20016,3264444.44444,1.0,6.0,8.0 
house20017,2802222.22222,2.0,7.0,10.0 
house20018,4651111.11111,1.0,6.0,7.0 
house20019,3091111.11111,2.0,6.0,7.0 
house20020,3871111.11111,2.0,6.0,6.0 
house20021,10400000.0,2.0,5.0,5.0 
house20022,3148888.88889,2.0,6.0,6.0 
house20023,3784444.44444,1.0,7.0,9.0 
house20024,3437777.77778,1.0,5.0,6.0 
house20025,10400000.0,2.0,5.0,2.0 
house20026,5315555.55556,2.0,7.0,6.0 
house20027,10400000.0,2.0,5.0,5.0 
house20028,3091111.11111,1.0,5.0,6.0 
house20029,10400000.0,1.0,9.0,8.0 
house20030,3871111.11111,1.0,5.0,4.0 
house20031,10400000.0,2.0,6.0,3.0 
house20032,3351111.11111,1.0,6.0,6.0 
house20033,3004444.44444,2.0,7.0,9.0 
house20034,3437777.77778,2.0,6.0,7.0 
house20035,4564444.44444,1.0,10.0,13.0 
house20036,3264444.44444,2.0,7.0,9.0 
house20037,3177777.77778,1.0,6.0,8.0 
house20038,3957777.77778,3.0,9.0,7.0 
house20039,3611111.11111,1.0,6.0,7.0 
house20040,3437777.77778,1.0,5.0,4.0 
house20041,10400000.0,3.0,8.0,4.0 
house20042,3177777.77778,2.0,7.0,8.0 
house20043,3437777.77778,1.0,5.0,4.0 
house20044,3437777.77778,3.0,7.0,5.0 
house20045,5431111.11111,1.0,4.0,3.0 
house20046,3264444.44444,1.0,5.0,5.0 
house20047,3177777.77778,3.0,9.0,12.0 
house20048,3524444.44444,2.0,7.0,7.0 
house20049,4131111.11111,2.0,7.0,6.0 
house20050,4304444.44444,2.0,8.0,10.0 
house20051,5315555.55556,1.0,7.0,8.0 
house20052,3177777.77778,1.0,5.0,7.0 
house20053,3957777.77778,2.0,7.0,8.0 
house20054,10400000.0,1.0,6.0,6.0 
house20055,5315555.55556,1.0,8.0,10.0 
house20056,3524444.44444,1.0,6.0,5.0 
house20057,10400000.0,4.0,9.0,2.0 
house20058,10400000.0,2.0,5.0,1.0 
house20059,3091111.11111,1.0,4.0,3.0 
house20060,3264444.44444,2.0,7.0,9.0 
house20061,3437777.77778,2.0,6.0,5.0 
house20062,3177777.77778,1.0,3.0,3.0 
house20063,5315555.55556,4.0,10.0,9.0 
house20064,10400000.0,1.0,5.0,3.0 
house20065,5633333.33333,1.0,6.0,5.0 
house20066,3177777.77778,2.0,8.0,10.0 
house20067,3004444.44444,1.0,3.0,3.0 
house20068,10400000.0,3.0,7.0,6.0 
house20069,3611111.11111,1.0,5.0,7.0 
house20070,3957777.77778,4.0,10.0,12.0 
house20071,3177777.77778,2.0,6.0,7.0 
house20072,5315555.55556,2.0,7.0,5.0 
house20073,5315555.55556,3.0,9.0,12.0 
house20074,3264444.44444,2.0,9.0,11.0 
house20075,5344444.44444,1.0,5.0,5.0 
house20076,5344444.44444,1.0,8.0,10.0 
house20077,3437777.77778,3.0,7.0,9.0 
house20078,3351111.11111,1.0,4.0,5.0 
house20079,10400000.0,2.0,6.0,6.0 
house20080,3437777.77778,1.0,8.0,10.0 
house20081,4391111.11111,1.0,7.0,8.0 
house20082,10400000.0,2.0,5.0,2.0 
house20083,3351111.11111,1.0,4.0,5.0 
house20084,3351111.11111,2.0,7.0,7.0 
house20085,10400000.0,1.0,3.0,1.0 
house20086,10400000.0,3.0,8.0,7.0 
house20087,5633333.33333,1.0,6.0,7.0 
house20088,10400000.0,1.0,4.0,2.0 
house20089,3437777.77778,4.0,9.0,7.0 
house20090,3177777.77778,1.0,4.0,3.0 
house20091,5517777.77778,3.0,9.0,7.0 
house20092,10400000.0,1.0,3.0,1.0 
house20093,3437777.77778,2.0,9.0,12.0 
